Fluorescence,Trypsin,Replicate
85482,0.5,1
82816,0.5,2
84861,0.5,3
67927,0.25,1
61397,0.25,2
63092,0.25,3
63755,0.125,1
55416,0.125,2
49503,0.125,3
58110,0.0625,1
54414,0.0625,2
49604,0.0625,3
56558,0.03125,1
52736,0.03125,2
49404,0.03125,3
54849,0.015625,1
54759,0.015625,2
52591,0.015625,3
53704,0.0078125,1
51156,0.0078125,2
50056,0.0078125,3
51649,0.00390625,1
52025,0.00390625,2
53594,0.00390625,3
