"","gene","."
"1","lasR",843
"2","lasI",830
"3","rhlR",848
"4","rhlI",846
"5","pqsA",841
"6","pqsB",841
"7","pqsC",845
"8","pqsD",844
"9","pqsE",846
"10","pqsH",845
"11","pqsL",844
"12","pqsR",850
