"GENE","NUMBER_OF_STRAINS","PERCENT_OF_DB"
"rhlR",849,99.6478873239437
"rhlI",847,99.4131455399061
"qscR",772,90.6103286384976
"pqsR",789,92.6056338028169
"pqsL",847,99.4131455399061
"pqsH",845,99.1784037558685
"pqsE",479,56.2206572769953
"pqsD",843,98.943661971831
"pqsC",842,98.8262910798122
"pqsB",685,80.3990610328639
"pqsA",843,98.943661971831
"lasR",553,64.906103286385
"lasI",290,34.037558685446
